BÁO CÁO QUY ĐỔI CONVERSION ITEM MASTER,,,,,,,,,,,,,,
Item No,Item Name,UOM1,UOM2,UOM Conversion,UOM Piece,Type Item,Tấn/ UOM Conversion,M3/ UOM Conversion,UOM Conversion / Pallet,UOM Conv / Pal Layer,UOM2/UOM1,UOM Conv/Piece,Pallet chồng đôi,Item Status
97KM01048,Thuốc sát trùng Virkon S 100g,Goi,,Goi,,POSM,0.000108,0.00028,,,1,,,Active
BGTV00097,Thùng carton giấy vàng NK Vĩnh Hảo không gas tự nhiên 24chai x 500ml (393x264x216)mm,Cai,,Cai,,PG,0.00032,0.00218,"2,200",,1,,,Active
97KM01051,Túi giấy Woa! ngon (315x255x140)mm,Cai,,Cai,,POSM,0.000115,0.00046,600,,1,,,Active
BGNN00113,Nhãn decal Vĩnh Hảo không gas tự nhiên bình 20L (125x230)mm,Cai,,Cai,,PG,0.00001,0.00001,"96,000",,1,,,Active
97KM00850,Tờ rơi Horeca Tết 2017,Cai,,Cai,,POSM,0.0000114,0.000011286,,,1,,,Active
97KM00855,Poster bia Sư Tử Trắng (400x560)mm,Cai,,Cai,,POSM,,,,,1,,,Active
97KM00950,Bao thư,Cai,,Cai,,POSM,,,,,1,,,Active
97KM00951,Thư mời,Cai,,Cai,,POSM,,,,,1,,,Active
97KM00953,Standee,Cai,,Cai,,POSM,,,,,1,,,Active
97KM00954,Poster,Cai,,Cai,,POSM,,,,,1,,,Active
97KM00955,Băng rôn hội thảo,Cai,,Cai,,POSM,,,,,1,,,Active
97KM00962,Xúc cám nhựa,Cai,,Cai,,POSM,,,,,1,,,Active
97KM00963,"Núm uống tự động cho heo( phi 21, inox)",Cai,,Cai,,POSM,,,,,1,,,Active
BGNN00112,Nhãn nhựa NK Vĩnh Hảo không gas tự nhiên 5L (127x248)mm,Cai,,Cai,,PG,0.00000371,0.000005,"112,000",,1,,,Active
BGTV00096,Thùng carton giấy vàng NK Vĩnh Hảo không gas tự nhiên 24chai x 350ml (360x242x186)mm,Cai,,Cai,,PG,0.00026,0.00171,"2,200",,1,,,Active
NVL001,Nguyên vật liệu ảo,Kgs,,Kgs,,RM,0.001,,,,1,,,Active
97KM00964,Áo thun Bio-zeem,Cai,,Cai,,POSM,,,,,1,,,Active
97KM00966,Áo thun có cổ,Cai,,Cai,,POSM,,,,,1,,,Active
97KM00972,Máng tập ăn cho heo (gang),Cai,,Cai,,POSM,,,,,1,,,Active
BGNN00109,Nhãn nhựa NK Vĩnh Hảo không gas tự nhiên 350ml (51x94)mm,Cuo,Cai,Cai,,PG,6.27E-07,1.29E-06,"784,280",,0,,,Active
97KM00974,Kìm cắt răng,Cai,,Cai,,POSM,,,,,1,,,Active
97KM00975,Bóng đèn hồng ngoại 100W,Cai,,Cai,,POSM,,,,,1,,,Active
97KM00976,Đá liếm,Cai,,Cai,,POSM,,,,,1,,,Active
97KM00977,Bộ Quần áo chống dịch,Cai,,Cai,,POSM,,,,,1,,,Active
97KM00981,Thẻ tai ( nhựa-in số ),Cai,,Cai,,POSM,,,,,1,,,Active
97KM00982,Cân móc nhỏ cầm tay,Cai,,Cai,,POSM,,,,,1,,,Active
97KM01062,Tivi LG 55 inch,Cai,,Cai,,POSM,,,,,1,,,Active
94C500020,BTP Cà phê hòa tan 9C01 RUS,Kgs,,Kgs,,IP,0.001,,450,,1,,,Active
97KM00877,Kệ cà phê Miền Bắc (1500x530x400)mm,Cai,,Cai,,POSM,0.009,0.36,,,1,,,Active
99NM30043,BTP3 NM cốt Phú Quốc 35N sau phối trộn,Lit,,Lit,,IP,,,,,1,,,Active
97KM01061,IPhone 6s Plus - 16GB,Cai,,Cai,,POSM,,,,,1,,,Active
97KM03424,Tủ lạnh Samsung Inverter Multidoor,Cai,,Cai,,POSM,0.1,1.134,,,1,,,Active
